Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL,amazon_url,amazon_mrp,amazon_sale_price,amazon_quantity,amazon_uom
1,0XD6AR4Z08,Patanjali Kesh Kanti Advance Herbal Hair Expert Oil 100 ml,Bath Body and Hair,0,100ml,https://www.swiggy.com/stores/instamart/p/0XD6AR4Z08?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTkxNDQ2NzkzODY4NzU2OjE3NDUzMjM0NzU6c3BfYXRmOjMwMDQ5MzM1OTU4MzYzMjo6MDo6&url=%2FPatanjali-kanti-Herbal-Expert-100ml%2Fdp%2FB0CBV2YJ1Y%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.cvsknN_XHxatg-8P6ZNVgW5Vcnl8ks5nIpgtBt3qv-3RVGcBmo0QbS6bjJXuvCvwYE0iC2cuBXF-ESe_phwlOPvvBkI84LJnciaxpm_n6jXu-at-DA9AqCZoo9yR7SA4KaTgHj3xz7WkNpH2Brq4cfeNFZlRghsElzCb9vL60-QtW1lDB6yr-yU3KN_v0fIVirhf7Uui887R-qsS7Pw3o_U7Flr4J5dno2IxiG4eLTmCNaHaAGRMiTvytnu_hF947zDOG0f9NI0PYscAm6-WKrQELEmt9_VSIzRBJSQkROs.kFv_RttV_uieAeUBvQNL7AfeqAAdgLCZoXiayEzHBz8%26dib_tag%3Dse%26keywords%3DPatanjali%2BKesh%2BKanti%2BAdvance%2BHerbal%2BHair%2BExpert%2BOil%2B100%2Bml%2B100ml%26qid%3D1745323475%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,328.,100,ml
2,5E0HASUBUJ,Crocs Womens Splash Slides Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/5037892c-4d61-4063-9cbb-4e75e3ace0d0_BeltsWalletsBagsinstamax_W11ADHVRAD_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/5E0HASUBUJ?custom_back=true,https://www.amazon.in/crocs-Splash-Black-Slide-208361-001/dp/B0B4SGCP2K/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Jck67PFY-oWirKT2Wv7HdqSZXm-dOPLCES6d0yk6z167tYjBHFX6DRUA2h9ZiAhk0gr3HRYBCUnxmKvXxq6CHwDhxRZo9U6R8ILgagU37n3U6Cruji6bqtQ_ytRZVUWjJZlQEhU2xZEOHgttiCaN5auNwCXvXSiwzeZznypzeaj6TelMlqqjJodty82u6ec_HQqZcgGNWac3ENLJNXCduUa9FiUd6dnuQISpPt1SQDu0TWuvYO-qFE4vEjnkZewf1bYKgIcs0LUkBFKYmknzRpVrA8uBqFOFcbIFVs6ZxIU.Kdj3fs7lmY4C3_Vyn41UneaAd3PkHMFwqGrMEpk9h2s&dib_tag=se&keywords=Crocs+Womens+Splash+Slides+Black+1Piece&nsdOptOutParam=true&qid=1745323484&sr=8-1,N/A,2995,N/A,N/A
3,X5P53X35HD,Crocs Womens Boca Wedge Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/f1fa7c9f-d0b8-4a36-8710-a8befbbf15dd_BeltsWalletsBagsinstamax_850PROKJ9W_MN.png,1Piece,https://www.swiggy.com/stores/instamart/p/X5P53X35HD?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTk5MjE0Mjg0Mzc0NDY1OjE3NDUzMjM0ODQ6c3BfYXRmOjMwMDA3NDMyNzYzMzEzMjo6MDo6&url=%2Fslippers-comfortable-stylish-exciting-Bubbles%2Fdp%2FB09X66QDRY%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.VORKG_aH09Y6x33tbmMrEf7LK3rFbyzDZiSSgVvnEFEFtMAQnTV4nBRCy4bSCLL-DewHydbetA_x2UP1hFIudtOoUfq5wGw4mQnxg9bJ9Cf1Nho1Fu8DELeTE071x07SoTEQYHfhciL2JOuiI2E6uFWN-sDZME6bOQOCjqNHdrjLqNesrCt1rpVJn0DGJ748nxMNatpBCbjtdDqtm4GHY6DzmZRJmv61FKg1W1tPPaIE-jJFQvM8J1btBdXpXuDmFHBLtcATXcgij44nnKBPj0r3cesUAt0mIrXU1am8Rig.jGicI3dperixu4TFsxbfh21xhG516iOIYe5AtVCQxGc%26dib_tag%3Dse%26keywords%3DCrocs%2BWomens%2BBoca%2BWedge%2BFlip%2BFlop%2BBlack%2B1Piece%26nsdOptOutParam%3Dtrue%26qid%3D1745323484%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,496,N/A,N/A
4,QRKD13ZY2Q,Mad Over Print Super Sis Black Tshirt,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/7/11/e715020c-e277-4894-9ef7-f4b69e16c555_FashionClothing_QRKD13ZY2Q_MN.png,1Medium,https://www.swiggy.com/stores/instamart/p/QRKD13ZY2Q?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzczNzgzNTk1Mzg1OTk5OjE3NDUzMjM0ODg6c3BfYXRmOjMwMDQ4MzMxNzkzMTAzMjo6MDo6&url=%2FWHATSOEVER-Brand-Oversized-Shoulder-Graphic%2Fdp%2FB0DPMP7D1K%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.qFlaq7rT_LtjIRtScwwYNQasVzYDbk49JVLmsFEbXf7dZwaCjTWP99pD2tYzJhK74oeByEEZ7Quk9pgHwEhdGekPV1-IlwfgH7I2aGB4eOl9j4iFz5WfvbEhEjSXTwdwwjKWlv8GKqEPhK9BbdO8pn-YZ7pon0ly1Crnhd_5T3rINO2zcYDfQBH1nkkxc_FnFfACU44BbmsoM2ppOYr5g00jeh1Ot780iECQxYvHyWdMp5WvACAnBti4nlpVNqEpOGPI24IEATHPPnJdz2tkZFbV9ibgTRyJsnZKvyTqSzQ.WodZU3E8GAnQY6eMdko4FWUEIBR9msXb-uFcaJMxwWI%26dib_tag%3Dse%26keywords%3DMad%2BOver%2BPrint%2BSuper%2BSis%2BBlack%2BTshirt%2B1Medium%26nsdOptOutParam%3Dtrue%26qid%3D1745323487%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,898,N/A,N/A
5,KTDUI4LQZN,Crocs Mens Crocband Flip Flop Graphite/Volt Green,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/e363ea12-a7c6-499e-b696-731ba8d3f7aa_BeltsWalletsBagsinstamax_VDIK9OO28I_MN.jpg,3UK,https://www.swiggy.com/stores/instamart/p/KTDUI4LQZN?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTI2NTA0NzQ1MTM1MDk4OjE3NDUzMjM0OTI6c3BfYXRmOjMwMDA3NDI3NzY2NzQzMjo6MDo6&url=%2FYOHO-slippers-comfortable-stylish-exciting%2Fdp%2FB0B53HFBYH%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.zB7_y_xQYKZYYVxwf3d4I04kvduSEVsV5xG3S8KUu9m9UiTLZQOR5pnmoGBTciCWfqVl5eEaOwcmLtzc3vSGKKacKi8JPYojUamUqi7HSThpn0jzAXJO9JqK2SK-xfWBZ1slOH2EdcXcnu-26HYkKHMEHq_ZPF-Irwwjg4vvp20wSPqhCRqMftLt7sG3eNImIyuB1jVCByUmOuE2bwQkzcBYdFycYMd4_mytf6F6ru1M8Aq-9bcwEkOH5NP6aOU6v6C_N0D2Ltox_ZVe_EKHn8GLxH-77LNn4TcOTfp0uvc.SnxkeIi_1fhAXUIcTL_1ywfcmFviJMyoQFCMJ_liejU%26dib_tag%3Dse%26keywords%3DCrocs%2BMens%2BCrocband%2BFlip%2BFlop%2BGraphite%252FVolt%2BGreen%2B3UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323492%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,482,N/A,N/A
6,T4W4PZJR7X,Crocs Womens Splash Studded Flip Flop Red_UK5,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/70cce53d-953e-47e7-840e-a1f1a9fd4c5b_BeltsWalletsBagsinstamax_J45KXFTCPW_MN.PNG,5UK,https://www.swiggy.com/stores/instamart/p/T4W4PZJR7X?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTgxODQzMTA3NjA3NzI4OjE3NDUzMjM0OTU6c3BfYXRmOjMwMDA3NDMyNzYzMjkzMjo6MDo6&url=%2FYOHO-Slippers-Comfortable-Exciting-Lightweight%2Fdp%2FB09X5PXRLD%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Yn7zu2v3IIn_vZiAwyaaMloaQPfwjFpP_STemrulYV3wC6neyHZjFIv_lFJOKCjowyR7YRRtCgboQmM9mNKqhxXTMAlaVy41R7BRBhmifgntwpF-0keaBcXXBbczqYmmPqoHiL_aSSe_ukBWNaquM5C70YkwnqVOXTvrFx3BwCDF-2oLfTj7ktsrid3qyfBNnD5RYVJ3PmjZYWP3eI8xI_vVG33XY0k64AiCNa4D7QRvoSLJ7MM29mseG4G-7pQnafvDJ0tEK0pvW0D96Dy7K3SNquU-PVOaOYytyFOAskU.6UT5cEdWYAbvhplut44xRId-b05WJ5-VMrqnD0PwRcg%26dib_tag%3Dse%26keywords%3DCrocs%2BWomens%2BSplash%2BStudded%2BFlip%2BFlop%2BRed_UK5%2B5UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323495%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,496,N/A,N/A
7,W4LX4W4HAL,Crocs Mens Classic All-Terrain Flip Flop Yellow,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/aa2c705ee0a42434404c18dbb1793941,8UK,https://www.swiggy.com/stores/instamart/p/W4LX4W4HAL?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjAxMzEwOTk1Nzk0NjA3OjE3NDUzMjM0OTk6c3BfYXRmOjMwMDUyNDg1Nzk3MzgzMjo6MDo6&url=%2FLUDIC-Collection-CloudFrame-Technology-Ultra-Soft%2Fdp%2FB0F29SYB4Q%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.7K2ax_crn-XlsX6dduvgzIApQgDVLUnDLOYfBggFZ0HnVNpTBZBNxUkJihtNnFd9A9ABrLsFaoKf9uXeEV1Fw5zWczkVztdSqglxy6-lVxhzTWHjx2QmN7EFBxd9psxTTK0mmrKhwzJmiSZ_Q1-D-Nq26XH5g1j6vdBnhYmVqEfd6FLygARpxlFOAo2L0XchjdIbYKg-tqTcidlrxeObyuMj_mRtwmR4VuKqwCGmXy37zhd3vUYGnFhzlyI6TRPrn6gLxhskbRGVYe6XjB6qCGHvz0yVBFj3cxhDZSYngIU.pDx5UrK-EfO9MEQrpOQDD1jxiRKfh1r-24dsUW8CI3s%26dib_tag%3Dse%26keywords%3DCrocs%2BMens%2BClassic%2BAll-Terrain%2BFlip%2BFlop%2BYellow%2B8UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323499%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,1999,N/A,N/A
8,CE75R4DF79,Flite Slippers FL0366L Navy Pink- 6 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/e87737b9-4768-4660-bd23-5e18a50d5fa9_65013_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/CE75R4DF79?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzk0NzEzNTQzNzMxMTk6MTc0NTMyMzUwMzpzcF9hdGY6MzAwMDczMTEyOTcwNTMyOjowOjo&url=%2FYOHO-comfortable-slippers-Lightweight-Waterproof%2Fdp%2FB0BRL2SLLD%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.kO3Oz8ywHlPtWvoujmMiQRCZUhsXno56IFlkAggLo-tzZysnLROQMquiiu2nnArOfqkRv9mC_vrvVbmqUNF6ssnZf0ubY0USNUsfkL7bY2IsytdsiBU0UIEGaeQ-lAyGMjGDc84XXQfpNJ8VPPI7PYYAdbWnIlTCwwZ3ybQQROB4KT9ewtFj8e6dVRa8bDEYbt5lEQIUDGAEauuT5zy1E_8435JW8fbaCnrPZ7_JBOWoCVTOOWgn9EN7r6Wm0Hc2Ij-a2ZIXANc-nWI19CEHJKYvQg7JC2Qu13KqmXQbRlc.xTmd0QbwPv1Nzd73JgNKrZGG71Is1Uexz35zZ3Dxc3Q%26dib_tag%3Dse%26keywords%3DFlite%2BSlippers%2BFL0366L%2BNavy%2BPink-%2B6%2BUK%2B1Piece%26nsdOptOutParam%3Dtrue%26qid%3D1745323502%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,549,N/A,N/A
9,7HKNXXYEJC,Flite Slippers FL0366L Navy Pink- 7 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/9375f718-3f23-4855-82a6-b86eb2638b00_79754_5.png,7UK,https://www.swiggy.com/stores/instamart/p/7HKNXXYEJC?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzgxMTA5MzUwNDM5NDMzOjE3NDUzMjM1MDc6c3BfYXRmOjMwMDUxNDA5MTA0NTEzMjo6MDo6&url=%2FHEALTH-FIT-Flip-Flops-Comfortable-Lightweight%2Fdp%2FB0F26ZXNRL%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.jJ2E1ejVeYHqOTOPi9r_MlOHw0V6L1ICvL9dTwP3BnxOPH2w86FHrTSnaoRMKsPjAGmW79xhwJpP7p58L75EwTkjsbmJ5yj9YL8W4VsvFwSKHgQg3M9OCGiDgdpYLsAHUDZTIxLahsqvq-nrHsFDRP33ZnEcCrf80GktvWNrtDpL5AcVV_Z4sUkW5vmOyxMFAI5FKzKCU00kiz9RaNnyLjSxEyXtC-Md4YHnZVG-ypO2KAXm0dLhes1iwvGUBfi0UhnYzCj5nZo8SmBiEwA5M_VZe8FwVrLQIzlYqSG5CQc.Phy0lOrLb04isiXXfFL4D-Lf9OHyagCoNXkSCk8BdZ0%26dib_tag%3Dse%26keywords%3DFlite%2BSlippers%2BFL0366L%2BNavy%2BPink-%2B7%2BUK%2B7UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323507%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,599,N/A,N/A
10,KPFIUJFTMY,Crocs Classic Crocs Marbled Sandal Brown,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/15/05b2ab71-e215-48fa-858b-178feb7fd151_BeltsWalletsBagsinstamax_LJX0D2IR0B_MN.PNG,10UK,https://www.swiggy.com/stores/instamart/p/KPFIUJFTMY?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDA4MDYwNjA4MTczMjI2OjE3NDUzMjM1MDk6c3BfYXRmOjMwMDUxNDc2Njc2MTQzMjo6MDo6&url=%2FImpakto-Adjustable-Comfortable-Lightweight-Waterproof%2Fdp%2FB0F1XVYV3H%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.pQOYlFnpv1qh8ih8BUafMAQRSzr4IwG22g9KKm9sCsnnXm2Aq5SYZQbBoLmz0ExdwbsX-9I2nxo2k6AKOfm6UzU8BXX64xO16KZlPOqZuvnAdHCzFBfchjyTmYPo_GNUlL3usxZvXvO8YwRz-NaHx5ze13G5CYxLecrpu4cYepn54WMP4hS2p8NmomEGy1een3GAlSYeInoGxDEtLWx-5vbyezT149ZOrzC12dupI7M1sBZxM2gY3Tc92JgQx9zHYzzQZoefInEuwl9A8SACR68o_x7ES7ysqp_hJnUwWcs.jinSBvPnn1dzITEOKc5WFds5gSGtfUxWNqQISznOAew%26dib_tag%3Dse%26keywords%3DCrocs%2BClassic%2BCrocs%2BMarbled%2BSandal%2BBrown%2B10UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323509%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,599,N/A,N/A
11,18AZIHYB9C,Crocs Womens Flip Flop Black_6_UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/78f613ae-bc5f-467d-bf7d-2d406c81cd54_BeltsWalletsBagsinstamax_WF9VKW144Y_MN.JPG,1Piece,https://www.swiggy.com/stores/instamart/p/18AZIHYB9C?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzcyMjUzMjUwNzM0NDoxNzQ1MzIzNTE0OnNwX2F0ZjozMDAwNzQzMjc2NDA0MzI6OjA6Og&url=%2FYOHO-slippers-comfortable-stylish-exciting%2Fdp%2FB0B642RMCT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.AYbEmAU-oL27qaaHaJjAO5aQ_2sfTYiQaG4WqswFOOy8NMWtEk0dJrcbjc1BYOIFj1RjYnz-w7y8giGOsDMsiimeRjck6KEXkzX-uv0Gvqs6BtJvWJ1r7wHze4jes7lbYWUjvXu0TxQhQWwpOkux6cz7K8vdPKzNsIXk5qCv1Movnc8D3E5RvRIewoQBdtdZBn9WNkjA-IoSBTQVYEHN4UjwUiKPcaIQ-H50MY_Wtt2EEcFNEBB1ZmbXzZc9kDHlGFeTOMIgNfOK93bj0DlCXvlsVMLNHTa0jz26y3heBiI.hs1IdwXzglaExy5tS5oAU77X5v4_aZCveoec0CuB-Z8%26dib_tag%3Dse%26keywords%3DCrocs%2BWomens%2BFlip%2BFlop%2BBlack_6_UK%2B1Piece%26nsdOptOutParam%3Dtrue%26qid%3D1745323514%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,496,N/A,N/A
12,P1RTN37BFS,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/be308e1a-f94a-420d-8a3f-089aa76e217c_BeltsWalletsBagsinstamax_3XJJ68R1CJ_MN.jpg,10UK,https://www.swiggy.com/stores/instamart/p/P1RTN37BFS?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzE0NTgzOTE1ODc3MDY0OjE3NDUzMjM1MTY6c3BfYXRmOjMwMDUzMTcyNzI1MzczMjo6MDo6&url=%2FSIR-CORBETT-Lightweight-Waterproof-Slippers%2Fdp%2FB0F29KRPLV%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OyEhGhK6u6OUeqPBROCa8svnU7UC_IZRX2FBEz5J8PSnc11jFsudtYM_r4YPXYOgcD5vCmjdcz1z8mFWXgf5gwA8fkBQZho1GJmPCHtXxpGl9eEcHlWv-9yRgy_BOb0MSXAdOHURZ5GOT-EuHzSQDn3VQp8kD_qme2xNE6HbW8_fia8gjtj91cZ9ld4TRXN1PXwpUsQzrS-tYNG2P3w7uApTSS69O0RYxJhHgNNGRfTKhFhfXLD-f7TnGIA-23slxdvzYz5lAMisWiRla_i4cVPnxhbocp8DKCCfvshs32s.dva6UQ-JsfRNyee2XRzValyUAwSd4vmIB0q69wenxHA%26dib_tag%3Dse%26keywords%3DCrocs%2BMens%2BClassic%2BAnimal%2BRemix%2BFlip%2BFlop%2BBlack%2B10UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323516%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,699,N/A,N/A
13,W89HR56BGQ,Crocs Womens Classic Platform Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/28/4a9568ef-4786-495f-a28f-1db1dbfb7b1e_80920_1.png,4UK,https://www.swiggy.com/stores/instamart/p/W89HR56BGQ?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTExMzI5MTgxMjYxNDM3OjE3NDUzMjM1MjE6c3BfYXRmOjMwMDA3NDMyNzY0MDQzMjo6MDo6&url=%2FYOHO-slippers-comfortable-stylish-exciting%2Fdp%2FB0B642RMCT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Kl4gKoCgXYRG4FT-pBdKuU7LRcqFjnhsyl4dSLaq4zCQ01-RQQ1XJV9K0Znz6TUfpCmlnm0h4HON8XuPYPgnpFQ1eNzfNsRHYm0XqK2CPozKG8aMWntaqso2f3AGgLW15Yyh0qwV0Wa1fdj1o5Ifwl-3p8lQ03EVVaRrjPg0ADrTjKAuIQ442mY-t7flcCuaUVbxicpMR1nQ1r6eTUQWcVmfnsoHPdmUkMh6P9yFl801-jU9yjxvWApTnnHJ1pheHQoUiDDJNNb5v_B6gYKonCjlRc3zcHD-2HvCr32w3zQ.uiwdq545TRWQIcBs44MjBotVyNqb_vAZm9lSlNfohqE%26dib_tag%3Dse%26keywords%3DCrocs%2BWomens%2BClassic%2BPlatform%2BFlip%2BFlop%2BWhite%2B4UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323520%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,496,N/A,N/A
14,BMQ2O32KFH,Patanjali Dant Kanti Fresh Active Gel Toothpaste Crystal,Hygiene and Wellness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/6/0373f658-b9de-4816-8647-77d383d5056c_184512_1.png,300g,https://www.swiggy.com/stores/instamart/p/BMQ2O32KFH?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzM2NTI2MTA3NDYzMTE2OjE3NDUzMjM1MjU6c3BfYXRmOjMwMDQ0NzIwMTEyODIzMjo6MDo6&url=%2FParodontax-Fluoride-Toothpaste-Protection-Problems%2Fdp%2FB09JLNL36K%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.lZNUdf9ov21c2HiLphEmxwsQVwHCG2E51MXdIHZSjBeFyLyRW4gOyd5wkunSLrAyCc3KVkRlhyvgwljSYS5fGkoognISWPhpXSH-8UMR5xnmpP2tseKLNj3SpZPSIXxPI5I77f6gQVBNbmvEGxoOWz3Bw7qfJZeUwxOZSqmSZ6Kz3k-HtFVxFjZuu5bZNgzJPTbs2V43h6ePEIyZ3IRqxO72_Ib1oC5JiE_cDmwqUFsvC4iWRcXGoZnUYjiH5z_pVc5yCss9744BacQt4nSz6_ZmpzxYBNIpzyrWxDp-RfU.OYtSfRIw6Shqyd1T4iUpr51xYX_6WNdIBKQJDMJ7jPQ%26dib_tag%3Dse%26keywords%3DPatanjali%2BDant%2BKanti%2BFresh%2BActive%2BGel%2BToothpaste%2BCrystal%2B300g%26nsdOptOutParam%3Dtrue%26qid%3D1745323525%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,202.,75,g
15,EY5KR8HMOY,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/be308e1a-f94a-420d-8a3f-089aa76e217c_BeltsWalletsBagsinstamax_3XJJ68R1CJ_MN.jpg,9UK,https://www.swiggy.com/stores/instamart/p/EY5KR8HMOY?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDMwODQ1MTI4OTY3MzY0OjE3NDUzMjM1Mjk6c3BfYXRmOjMwMDQyOTA3Njk2MjkzMjo6MDo6&url=%2FYo-kai-Modern-Featherweight-Footwear-Numeric%2Fdp%2FB0D9CY9MVC%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OyEhGhK6u6OUeqPBROCa8svnU7UC_IZRX2FBEz5J8PR0isrR4xsra78qVqO-RmkSprrPTIs4qA4kBAgxCNIj2XpibWv6moctQ1M4PxCz4V-l9eEcHlWv-9yRgy_BOb0Mg3DO4oEvVgygCwH80ndo8mEho_K6C_FYfVueWx36kTZnEGAGPqynNQv_mzZmF8vhwREYYPZRj3LrFf8g9poWVhIXBKnrpSQfIOlubOp33f68MOcvOJJv74w_qiMKzJ0Db11v2Kh16kucFOA7knBpXtduTZNi2vAwHWXz_QUcuwo.UyM-w9il7IgQcICBOHVpMqOf_rXjFpYuyFdMRWlqsow%26dib_tag%3Dse%26keywords%3DCrocs%2BMens%2BClassic%2BAnimal%2BRemix%2BFlip%2BFlop%2BBlack%2B9UK%26nsdOptOutParam%3Dtrue%26qid%3D1745323528%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,499,N/A,N/A
